id,nombre,genero,origen,empezo,capacidad,describe
1,Ant-Man,masculino,humano,obtencion de tecnologia avanzada,conocimiento,un ladron reformado y experto en electronica
2,Capitan America,masculino,humano,experimentos cientificos,habilidades atleticas,un supersoldado patriota que luchaba frecuentemente
3,Carol Danvers,femenino,mutante,un accidente experimental,habilidades atleticas,la Vengadora mas poderosa de Marvel
4,Daredevil,masculino,mutante,una historia traumatica,habilidades atleticas,el hombre sin miedo
5,Doctor Strange,masculino,humano,una historia traumatica,poderes misticos,el Hechicero Supremo
6,Falcon,masculino,humano,una historia traumatica,conocimiento,el nuevo Capitan America
7,Gamora,femenino,no humano,una historia traumatica,habilidades atleticas,la ultima de su especie
8,Hulk,masculino,mutante,experimentos cientificos,superpoderes,un ser humanoide enorme de piel verde
9,Iceman,masculino,mutante,obtencion de tecnologia avanzada,superpoderes,un miembro fundador de los X-Men
10,Iron Man,masculino,humano,obtencion de tecnologia avanzada,conocimiento,un millonario magnate empresarial
11,Nebula,femenino,no humano,una historia traumatica,habilidades atleticas,una brutal pirata espacial y mercenaria
12,Nick Fury,masculino,humano,obtencion de tecnologia avanzada,poderes misticos,lider de una elite del ejercito de los estados unidos
13,Spider-Man,masculino,mutante,un accidente experimental,superpoderes,El hombre araña
14,Thor,masculino,no humano,una historia traumatica,superpoderes,el dios del trueno asgardiano
15,Wolverine,masculino,mutante,una historia traumatica,superpoderes,un mutante que posee sentidos afinados a los animales
